127.0.0.1 - - [01/Dec/2022:13:05:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:05:42 +0900] "GET /myapp/ HTTP/1.1" 500 23280
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:06:33 +0900] "GET /myapp/board/list.do HTTP/1.1" 500 23280
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:55:37 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4463
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:55:37 +0900] "GET /myapp/resources/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:55:37 +0900] "GET /myapp/resources/css/css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:55:58 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:56:00 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:56:02 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:56:03 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:56:15 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4309
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:56:22 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:00:15 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:00:16 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:00:17 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:00:18 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:00:19 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:00:27 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:00:35 +0900] "GET /myapp/board/list.do HTTP/1.1" 200 13784
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:00:43 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:06 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:13 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:15 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:16 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:20 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4283
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:47 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4283
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:48 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4283
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:51 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4283
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:52 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4283
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:02:56 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:07 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:09 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:10 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:11 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:12 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:12 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:13 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:15 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:03:16 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [01/Dec/2022:14:33:03 +0900] "GET /myapp/board/writeForm.do HTTP/1.1" 200 4619
